,population_id,park_name,pop_name,pop_date,population_no,park_add
161,166,MCP,Sus cebifrons (Visayan Warty Pig),2020-07-06,15,"Jayubo, Lambunao, Iloilo"
162,167,MCP,Rusa alfredi (Visayan Spotted Deer),2020-07-06,17,"Jayubo, Lambunao, Iloilo"
163,168,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-08-03,11,"Jayubo, Lambunao, Iloilo"
164,169,MCP,Sus cebifrons (Visayan Warty Pig),2020-08-03,14,"Jayubo, Lambunao, Iloilo"
165,170,MCP,Rusa alfredi (Visayan Spotted Deer),2020-08-03,17,"Jayubo, Lambunao, Iloilo"
166,171,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-09-07,11,"Jayubo, Lambunao, Iloilo"
167,172,MCP,Sus cebifrons (Visayan Warty Pig),2020-09-07,14,"Jayubo, Lambunao, Iloilo"
168,173,MCP,Rusa alfredi (Visayan Spotted Deer),2020-09-07,17,"Jayubo, Lambunao, Iloilo"
169,174,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-10-05,12,"Jayubo, Lambunao, Iloilo"
170,175,MCP,Sus cebifrons (Visayan Warty Pig),2020-10-05,14,"Jayubo, Lambunao, Iloilo"
171,176,MCP,Rusa alfredi (Visayan Spotted Deer),2020-10-05,17,"Jayubo, Lambunao, Iloilo"
172,177,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-11-03,12,"Jayubo, Lambunao, Iloilo"
173,178,MCP,Sus cebifrons (Visayan Warty Pig),2020-11-03,14,"Jayubo, Lambunao, Iloilo"
174,179,MCP,Rusa alfredi (Visayan Spotted Deer),2020-11-03,16,"Jayubo, Lambunao, Iloilo"
175,180,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-12-07,12,"Jayubo, Lambunao, Iloilo"
176,181,MCP,Sus cebifrons (Visayan Warty Pig),2020-12-07,14,"Jayubo, Lambunao, Iloilo"
177,182,MCP,Rusa alfredi (Visayan Spotted Deer),2020-12-07,16,"Jayubo, Lambunao, Iloilo"
178,183,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-01-04,11,"Jayubo, Lambunao, Iloilo"
179,184,MCP,Sus cebifrons (Visayan Warty Pig),2021-01-04,14,"Jayubo, Lambunao, Iloilo"
180,185,MCP,Rusa alfredi (Visayan Spotted Deer),2021-01-04,16,"Jayubo, Lambunao, Iloilo"
181,186,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-02-01,12,"Jayubo, Lambunao, Iloilo"
182,187,MCP,Sus cebifrons (Visayan Warty Pig),2021-02-01,15,"Jayubo, Lambunao, Iloilo"
183,188,MCP,Rusa alfredi (Visayan Spotted Deer),2021-02-01,17,"Jayubo, Lambunao, Iloilo"
184,189,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-03-01,13,"Jayubo, Lambunao, Iloilo"
185,190,MCP,Sus cebifrons (Visayan Warty Pig),2021-03-01,15,"Jayubo, Lambunao, Iloilo"
186,191,MCP,Rusa alfredi (Visayan Spotted Deer),2021-03-01,19,"Jayubo, Lambunao, Iloilo"
187,192,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-04-05,13,"Jayubo, Lambunao, Iloilo"
188,193,MCP,Sus cebifrons (Visayan Warty Pig),2021-04-05,15,"Jayubo, Lambunao, Iloilo"
189,194,MCP,Rusa alfredi (Visayan Spotted Deer),2021-04-05,19,"Jayubo, Lambunao, Iloilo"
190,195,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-05-03,13,"Jayubo, Lambunao, Iloilo"
191,196,MCP,Sus cebifrons (Visayan Warty Pig),2021-05-03,15,"Jayubo, Lambunao, Iloilo"
192,197,MCP,Rusa alfredi (Visayan Spotted Deer),2021-05-03,17,"Jayubo, Lambunao, Iloilo"
193,198,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-06-07,13,"Jayubo, Lambunao, Iloilo"
194,199,MCP,Sus cebifrons (Visayan Warty Pig),2021-06-07,15,"Jayubo, Lambunao, Iloilo"
195,200,MCP,Rusa alfredi (Visayan Spotted Deer),2021-06-07,18,"Jayubo, Lambunao, Iloilo"
196,201,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-07-05,13,"Jayubo, Lambunao, Iloilo"
197,202,MCP,Sus cebifrons (Visayan Warty Pig),2021-07-05,14,"Jayubo, Lambunao, Iloilo"
198,203,MCP,Rusa alfredi (Visayan Spotted Deer),2021-07-05,18,"Jayubo, Lambunao, Iloilo"
199,204,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-08-02,14,"Jayubo, Lambunao, Iloilo"
200,205,MCP,Sus cebifrons (Visayan Warty Pig),2021-08-02,14,"Jayubo, Lambunao, Iloilo"
201,206,MCP,Rusa alfredi (Visayan Spotted Deer),2021-08-02,18,"Jayubo, Lambunao, Iloilo"
202,207,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-09-06,14,"Jayubo, Lambunao, Iloilo"
